商品名称	图片链接
1L康师傅冰红茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅冰红茶.jpg
1L康师傅茉莉蜜茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅茉莉蜜茶.jpg
1L康师傅茉莉清茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅茉莉清茶.jpg
1L康师傅热带风味冰红茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅热带风味冰红茶.jpg
1L康师傅每日C鲜果橙	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅每日C鲜果橙.jpg
1L康师傅小酪多多原味	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅小酪多多原味.jpg
1L康师傅低糖绿茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅低糖绿茶.jpg
1L康师傅茉莉柚茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅茉莉柚茶.jpg
1L康师傅蜂蜜柚子	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅蜂蜜柚子.jpg
1L康师傅冰糖雪梨	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L康师傅冰糖雪梨.jpg
500ml康师傅冰红茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml康师傅冰红茶.jpg
500ml康师傅茉莉蜜茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml康师傅茉莉蜜茶.jpg
500ml康师傅茉莉清茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml康师傅茉莉清茶.jpg
550ml康师傅矿泉水12瓶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/550ml康师傅矿泉水12瓶.jpg
550ml康师傅矿泉水24瓶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/550ml康师傅矿泉水.jpg
1L统一双萃柠檬茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L统一双萃柠檬茶.jpg
1L统一金桔柠檬	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L统一金桔柠檬.jpg
1L统一冰红茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L统一冰红茶.jpg
1L统一低糖绿茶	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/1L统一低糖绿茶.jpg
500ml统一阿萨姆原味	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml统一阿萨姆原味.jpg
500ml农夫山泉茶派蜜桃乌龙	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml农夫山泉茶派蜜桃乌龙.jpg
500ml农夫山泉茶派西柚茉莉	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml农夫山泉茶派西柚茉莉.jpg
500ml农夫山泉茶派青提乌龙	https://raw.githubusercontent.com/xapxiaocaox/shantunimages/master/500ml农夫山泉茶派青提乌龙.jpg
